ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes
318,set014-3-06-2020-A1_318.txt,T2,A-1,A,1,14,0.2101554,677.65,5.0264,0,664.75,0.331695211,2042.99,0.439370629,3/6/20,12:16:00,12:48:00,1920,F,Key Largo,Key Largo,JP,C. corindum,N,,,0.062,Y,25.1284578,-80.4080913,91,7.51,3.31,9,12.27,L,
38,set014-3-06-2020-A1_38.txt,T2,A-1,A,1,14,0.423795661,24511.07,10213.6448,0,24455.11,0.74113123,33072.51,0.587196262,3/6/20,13:25:00,20:14:20,24560,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,C,,0.042,N,25.1755702,-80.36780089,,5.72,2.82,7.46,10.43,L,
409,set014-3-06-2020-A1_409.txt,T2,A-1,A,1,14,0.321476311,8618.7,2680.9561,0,8523.55,0.833492095,10340.47,0.730581395,3/6/20,8:50:00,11:40:00,10200,M,Key Largo,Key Largo,JP,C. corindum,Y,BC,,0.04,N,25.1284578,-80.4080913,,5.4,2.63,7.17,9.73,L,
97,set014-3-06-2020-A1_97.txt,T2,A-1,A,1,14,0,0,0,0,0,0,2015.51,0,3/6/20,11:42:00,12:15:00,1980,F,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.13,Y,25.2275238,-80.3283788,249,8.45,3.95,10,14.16,L,
403,set014-3-06-2020-A2_403.txt,T2,A-2,A,2,14,0.382211409,36947.45,13710.7626,0,36947.45,0.781153307,47298.59,0.849054054,3/6/20,9:27:00,19:44:17,37037,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,,0.056,N,24.96424,-80.5673321,8,6.17,3.16,8.55,11.85,L,
410,set014-3-06-2020-A2_410.txt,T2,A-2,A,2,14,0.38243106,770.77,28.9018,0,703.55,0.346508481,2224.39,0.527983193,3/6/20,8:51:00,9:25:00,2040,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.053,N,25.1284578,-80.4080913,,6.28,3.28,8.8,11.96,L,
202,set014-3-06-2020-A3_202.txt,T2,A-3,A,3,14,0,0,0,0,0,0,2059.67,0,3/6/20,9:28:00,10:00:00,1920,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,,0.053,N,24.9735748,-80.5539224,,5.59,3.13,8.35,11.45,L,
223,set014-3-06-2020-A3_223.txt,T2,A-3,A,3,14,0.40575624,39083.77,15756.5074,0,39083.77,0.997631747,39176.55,1.083275862,3/6/20,11:43:00,22:35:37,39157,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.044,N,25.2734885,-80.3040957,,5.72,3.06,7.8,10.72,L,
35,set014-3-06-2020-A3_35.txt,T2,A-3,A,3,14,0.329944421,44.57,11.9377,0,23.91,0.019972307,2231.59,0.468880597,3/6/20,8:52:00,9:25:00,1980,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,B,,0.05,N,25.2565615,-80.3108042,,5.99,2.99,7.55,10.8,L,
438,set014-3-06-2020-A3_438.txt,T2,A-3,A,3,14,0.370389534,5281.35,1922.598,0,5243.27,0.872207955,6055.15,0.6283,3/6/20,10:01:00,11:40:00,5940,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.072,Y,25.2734885,-80.3040957,7,6.79,3.61,9.77,13.39,L,
159,set014-3-06-2020-A4_159.txt,T2,A-4,A,4,14,0.227768181,24759.83,5314.7897,0,24759.83,0.795805664,31112.91,0.369588235,3/6/20,13:58:00,20:51:00,24780,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.036,N,25.491362,-80.485821,,5.19,2.75,7.24,9.97,L,
227,set014-3-06-2020-A4_227.txt,T2,A-4,A,4,14,0.354276604,6.11,3.1415,0,5.13,0.003214994,1900.47,0.519256198,3/6/20,13:26:00,13:56:00,1800,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.112,Y,25.19515,-80.345916,318,7.9,3.33,8.5,12.37,L,
237,set014-3-06-2020-A4_237.txt,T2,A-4,A,4,14,0,0,0,0,0,0,2060.11,0,3/6/20,9:29:00,10:00:00,1860,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.079,Y,25.1755702,-80.36780089,59,8.51,3.67,9.15,12.95,l,
