average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num,filename,ID
0,0,1.2566,0,0,0,5400,0,4,set58-10-31-19-B4.txt,252
0.185879567,1586,14.4509,0,1449.9,0.881111111,1800,0.3926875,1,set7-10-16-19-A1.txt,253
0,0,1.2566,0,0,0,3600,0,3,set38-10-24-19-B3.txt,253
0,0,0,0,0,0,1800,0,2,set6-10-16-19-B2.txt,254
0,0,1.2566,0,0,0,3600,0,2,set33-10-23-19-B2.txt,254
0.169810811,0,2.5132,0,0,0,5400,0,1,set64-11-01-19-B1.txt,254
0,0,0.6283,0,0,0,1800,0,2,set5-10-16-19-B2.txt,255
0,0,0,0,0,0,3599.1,0,1,set42-10-25-19-A1.txt,255
0.182400781,1336.8,5.6547,283.1,615.5,0.742666667,1800,0.232703704,3,set6-10-16-19-B3.txt,257
0.248672595,2075.1,27.6452,0,1044.1,0.576416667,3600,0.448785714,1,set51-10-29-19-B1.txt,257
0.272291619,3344.3,740.7657,0,2242.8,0.636197614,5256.7,0.523583333,2,set67-11-04-19-A2.txt,257
0,0,0.6283,0,0,0,1800,0,4,set13-10-17-19-A4.txt,258
0,0,0,0,0,0,3600,0,4,set46-10-28-19-A4.txt,258
0,0,1.2566,0,0,0,5400,0,1,set57-10-31-19-B1.txt,258
0,0,0,0,0,0,900,0,1,set1-11am-10-15-19-B1.txt,259
0,0,0,0,0,0,3600,0,3,set44-10-25-19-B3.txt,259
0.302477437,640,7.5396,0,630.3,0.118518519,5400,0.6283,2,set71-11-04-19-A2.txt,259
0.338313929,1763.7,584.319,0,1763.7,0.979833333,1800,0.483307692,2,set6-10-16-19-A2.txt,261
0.437897495,3598.3,1552.5293,0,3598.3,0.999527778,3600,0.571181818,1,set47-10-28-19-A1.txt,261
0.413776399,3868.3,1290.5282,87.1,3047.7,0.716351852,5400,0.6283,3,set69-11-04-19-A3.txt,261
0.388633079,63.2,16.9641,0,45.5,0.035111111,1800,1.57075,1,set4-10-15-19-A1.txt,262
0.290312208,2938,18.849,214.7,2635.9,0.816111111,3600,0.6283,2,set33-10-23-19-A2.txt,262
0.249682896,1809.5,141.9958,67.2,482.9,0.335092593,5400,1.2566,4,set59-10-31-19-A4.txt,262
0,0,1.2566,0,0,0,1800,0,2,set23-10-21-19-B2.txt,263
0.273173913,0,1.8849,0,0,0,3600,0,2,set40-10-24-19-A2.txt,263
0,0,0,0,0,0,5400,0,3,set60-10-31-19-B3.txt,263
0.190393939,0,4.3981,0,0,0,1800,0,2,set14-10-17-19-A2.txt,264
0,0,0,0,0,0,3600,0,2,set49-10-28-19-A2.txt,264
0,0,0,0,0,0,1800,0,3,set14-10-17-19-A3.txt,269
0,0,0,0,0,0,1800,0,4,set24-10-21-19-A4.txt,270
0.214895643,13.3,2.5132,0,13.3,0.007388889,1800,0.3926875,4,set19-10-18-19-A4.txt,271
0,0,0,0,0,0,5400,0,2,set63-11-01-19-B2.txt,271
