ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,
317,C,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
95,A,10.18,11:45,17,B-3,F,Homestead,Y,,continuous,,
102,A,10.18,11:45,17,B-4,F,Homestead,N,,,,
248,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
382,D,NA,NA,NA,NA,F,Leesburg,NA,Y,,,
236,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
34,A,10.18,1:30,18,A-1,F,Plantation Key,N,,,,
249,E,10.18,1:30,18,A-2,F,North Key Largo,N,,,,
388,Petri1,NA,NA,NA,NA,M,Leesburg,NA,Y,,,
126,B,10.18,1:30,18,A-3,M,Homestead,Y,,,,
75,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
190,E,10.18,1:30,18,A-4,M,North Key Largo,N,,,,
288,Petri2,10.18,1:30,18,B-1,M,North Key Largo,Y,,Bursts,,
389,Petri1,NA,NA,NA,NA,F,Leesburg,NA,Y,,,
290,Petri2,10.18,1:30,18,B-2,M,Lake Placid,N,Y,,,
232,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
88,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
39,Petri1,10.18,1:30,18,B-3,F,Key Largo,N,,,,
5,Petri1,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
78,B,10.18,1:30,18,B-4,M,North Key Largo,N,,,,
221,E,10.18,2:15,19,A-1,F,North Key Largo,N,,,,
81,B,10.18,2:15,19,A-2,M,North Key Largo,N,,,,
302,C,10.18,2:15,19,A-3,F,Lake Placid,Y,,continuous,,
36,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
271,C,10.18,2:15,19,A-4,M,North Key Largo,N,,,,
85,B,10.18,2:15,19,B-1,F,North Key Largo,Y,,bursts,,
304,C,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
109,A,10.18,2:15,19,B-2,F,Homestead,Y,,bursts,,
20,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
231,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
351,D,10.18,2:15,19,B-3,M,Lake Placid,Y,,continuous,,
235,E,10.18,2:15,19,B-4,F,North Key Largo,Y,,continuous,,
73,B,10.18,3:00,20,A-1,M,North Key Largo,N,,,,
423,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,
49,A,10.18,3:00,20,A-2,M,Key Largo,Y,,continuous,,
123,A,10.18,3:00,20,A-3,M,Homestead,N,,,,
239,Petri2,10.18,3:00,20,A-4,F,North Key Largo,N,,,,
322,C,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
108,A,10.18,3:00,20,B-1,F,Homestead,N,,,,
276,C,10.18,3:00,20,B-2,M,North Key Largo,Y,,,started halfway through,
92,A,10.18,3:00,20,B-3,M,Homestead,??,,,,
251,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
199,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
130,B,NA,NA,NA,NA,M,Homestead,NA,Y,,,
292,Petri2,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
103,A,10.18,3:00,20,B-4,M,Homestead,Y,,bursts,,
10,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
421,D,10.21,9:00,21,A-1,M,Gainesville,N,,,,
129,B,10.21,9:00,21,A-2,M,Homestead,Y,,continuous,,
335,D,10.21,9:00,21,A-3,F,Lake Placid,N,,,,
413,D,10.21,9:00,21,A-4,F,Gainesville,N,,,,
11,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
61,B,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
79,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
128,B,10.21,9:00,21,B-1,M,Homestead,N,,,,
208,E,10.21,9:00,21,B-2,F,North Key Largo,N,,,,
156,D,10.21,9:00,21,B-3,F,Lake Wales,N,,,,
96,A,10.21,9:00,21,B-4,M,Homestead,Y,,continuous,,
136,B,10.21,10:00,22,A-1,M,Homestead,Y,,bursts,paint came off at 40%,
214,E,10.21,10:00,22,A-2,M,North Key Largo,N,,,,
152,D,10.21,10:00,22,A-3,M,Lake Wales,Y,,bursts,,
330,C,10.21,10:00,22,A-4,M,Lake Placid,Y,,continuous,,
52,B,NA,NA,NA,NA,F,Key Largo,NA,Y,,,
134,B,10.21,10:00,22,B-1,M,Homestead,Y,,bursts,,
272,C,10.21,10:00,22,B-2,F,North Key Largo,N,Y,,"died immediately after trial, should probably be excluded",
151,D,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,
157,D,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,
204,E,10.21,10:00,22,B-3,M,North Key Largo,N,,,,
391,Petri1,10.21,10:00,22,B-4,M,Leesburg,N,,,,
222,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
45,A,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
48,A,10.21,10:40,23,A-1,F,Key Largo,N,,,,
205,E,10.21,10:40,23,A-2,M,North Key Largo,N,,,,
38,Petri1,NA,NA,NA,NA,F,Key Largo,NA,Y,,,
348,D,10.21,10:40,23,A-3,M,Lake Placid,Y,,,,
55,B,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
234,E,10.21,10:40,23,A-4,F,North Key Largo,N,,,,
320,C,10.21,10:40,23,B-1,F,Lake Placid,N,,,,
263,C,10.21,10:40,23,B-2,F,North Key Largo,N,,,,
377,D,NA,NA,NA,NA,M,Leesburg,NA,Y,,,
225,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
376,D,10.21,10:40,23,B-3,F,Leesburg,Y,,continuous,,
28,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
408,D,10.21,10:40,23,B-4,M,Gainesville,N,,,,
54,B,10.21,11:20,24,A-1,M,Key Largo,Y,,bursts,non-J.haematoloma,
76,B,10.21,11:20,24,A-2,F,North Key Largo,N,,,,
60,B,NA,NA,NA,NA,F,Key Largo,NA,Y,,,
189,E,10.21,11:20,24,A-3,M,North Key Largo,N,,,,
270,C,10.21,11:20,24,A-4,F,North Key Largo,N,,,,
121,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,
114,A,10.21,11:20,24,B-1,M,Homestead,N,,,no recording,
260,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
93,A,NA,NA,NA,NA,M,Homestead,NA,Y,,,
210,E,10.21,11:20,24,B-2,M,North Key Largo,N,,,no recording,
107,A,10.21,11:20,24,B-3,F,Homestead,N,,,no recording,
6,Petri1,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
306,C,10.21,11:20,24,B-4,F,Lake Placid,N,,,no recording,
286,Petri2,10.21,12:00,25,A-1,M,North Key Largo,Y,,continuous,,
143,Petri1,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,
417,D,10.21,12:00,25,A-2,M,Gainesville,N,,,,
308,C,10.21,12:00,25,A-3,M,Lake Placid,Y,,bursts,,
154,D,10.21,12:00,25,A-4,F,Lake Wales,N,,,,
315,C,10.21,12:00,25,B-1,F,Lake Placid,N,,,no recording,
80,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
406,D,10.21,12:00,25,B-2,M,Gainesville,N,,,no recording,
420,D,10.21,12:00,25,B-3,M,Gainesville,NA,,,no recording,PAINT CAME OFF PRE-TRIAL
200,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
415,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,
392,Petri1,10.21,12:00,25,B-4,F,Leesburg,N,,,no recording,
111,A,10.21,12:35,26,A-1,M,Homestead,Y,,bursts,,
193,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
177,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
91,Petri1,10.21,12:35,26,A-2,M,Homestead,Y,,continuous,,
404,Petri2,10.21,12:35,26,A-3,F,Gainesville,Y,,bursts,,
97,Petri1,NA,NA,NA,NA,F,Homestead,NA,Y,,,
353,D,10.21,12:35,26,A-4,M,Lake Placid,N,,,,
325,C,10.21,12:35,26,B-1,F,Lake Placid,N,,,no recording,
393,Petri1,NA,NA,NA,NA,M,Leesburg,NA,Y,,,
196,E,10.21,12:35,26,B-2,F,North Key Largo,N,,,no recording,
316,C,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
399,D,10.21,12:35,26,B-3,F,Gainesville,N,,,no recording,
142,Petri1,10.21,12:35,26,B-4,F,Lake Wales,N,,,no recording,
133,B,NA,NA,NA,NA,M,Homestead,NA,Y,,,
159,D,10.21,1:10,27,A-1,M,Lake Wales,,,,,
46,A,10.21,1:10,27,A-2,F,Key Largo,,,,,
273,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
25,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
50,B,10.21,1:10,27,A-3,M,Key Largo,Y,,bursts,,
84,B,10.21,1:10,27,A-4,M,North Key Largo,Y,,bursts,,
44,A,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
338,D,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
12,A,10.21,1:10,27,B-1,F,Plantation Key,,,,,
145,Petri1,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,
184,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
71,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
213,E,10.21,1:10,27,B-2,M,North Key Largo,,,,,
16,A,10.21,1:10,27,B-3,F,Plantation Key,,,,,
100,A,NA,NA,NA,NA,M,Homestead,NA,Y,,,
183,Petri1,10.21,1:10,27,B-4,M,North Key Largo,Y,,bursts,,
352,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
230,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
150,D,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,
291,Petri2,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
70,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
18,A,10.21,3:25,28,A-1,M,Plantation Key,N,,,,
9,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
247,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
324,C,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
59,B,10.21,3:25,28,A-2,M,Key Largo,N,,,,
87,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
337,D,10.21,3:25,28,A-3,M,Lake Placid,N,,,,
319,C,10.21,3:25,28,A-4,F,Lake Placid,Y,,continuous,,
311,C,10.21,3:25,28,B-1,M,Lake Placid,Y,,bursts,,
179,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
301,C,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
243,Petri2,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
245,E,10.21,3:25,28,B-2,F,North Key Largo,N,,,,
252,E,10.21,3:25,28,B-3,F,North Key Largo,N,,,,
284,C,10.21,3:25,28,B-4,M,North Key Largo,N,,,,
138,Petri1,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,
323,C,10.21,4:10,29,A-1,M,Lake Placid,Y,,continuous,,
90,Petri1,10.21,4:10,29,A-2,F,Homestead,Y,,bursts,,
192,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,DNA,,
340,D,10.21,4:10,29,A-3,F,Lake Placid,N,,,,
65,B,10.21,4:10,29,A-4,F,Key Largo,N,,,,
186,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
336,D,10.21,4:10,29,B-1,F,Lake Placid,Y,,bursts,,
343,D,10.21,4:10,29,B-2,M,Lake Placid,N,,,,
409,D,10.21,4:10,29,B-3,M,Gainesville,N,,,,
400,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,
220,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,DNA,,
342,D,10.21,4:10,29,B-4,F,Lake Placid,N,,,,
119,A,10.21,4:50,30,A-1,M,Homestead,N,,,,
122,A,NA,NA,NA,NA,M,Homestead,NA,Y,,,
2,Petri1,10.21,4:50,30,A-2,F,Plantation Key,N,,,,
380,D,10.21,4:50,30,A-3,F,Leesburg,Y,,continuous,,
241,Petri2,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
