Number,sex,beak,thorax,wing,Parents,bugpop,natpop,cracked,Dvpt.time,wing2,mathost
606,F,6.37,3.67,7.34,222,GainesvilleGRT,Leesburg,n,28,S,K.elegans
607,M,5.84,3.34,9.15,222,GainesvilleGRT,GainesvilleGRT,y,26,L,K.elegans
610,M,5.58,3.1,5.32,222,GainesvilleGRT,Key_Largo,y,29,S,K.elegans
611,M,5.83,3.31,9.39,325,GainesvilleGRT,HomesteadGRT,n,33,L,K.elegans
612,M,5.88,3.49,9.56,325,GainesvilleGRT,GainesvilleGRT,n,29,L,K.elegans
613,M,5.81,3.19,9.18,325,GainesvilleGRT,Lake_Wales,y,32,L,K.elegans
616,M,5.36,3.06,5.69,325,GainesvilleGRT,Key_Largo,y,26,S,K.elegans
617,F,7.17,3.67,9.94,336,GainesvilleGRT,Lake_Wales,n,39,L,K.elegans
618,F,8.18,4.08,10.74,336,GainesvilleGRT,Lake_Wales,n,33,L,K.elegans
619,F,7.6,3.86,10.74,336,GainesvilleGRT,HomesteadGRT,y,31,L,K.elegans
620,F,6.3,3.38,6.09,336,GainesvilleGRT,Plantation_Key,n,28,S,K.elegans
622,M,5.33,3.04,5.66,336,GainesvilleGRT,Plantation_Key,y,29,S,K.elegans
623,M,5.72,3.43,8.53,337,GainesvilleGRT,Lake_Wales,n,31,L,K.elegans
624,F,6.34,3.47,6.74,337,GainesvilleGRT,Leesburg,n,27,S,K.elegans
625,F,6.44,3.48,6.6,337,GainesvilleGRT,Lake_Wales,y,27,S,K.elegans
628,M,5.08,3.13,6.45,337,GainesvilleGRT,Plantation_Key,y,28,S,K.elegans
629,F,8.43,4,10.61,212,Ft.Myers,Lake_Wales,n,33,L,K.elegans
630,M,5.99,3.38,9.14,212,Ft.Myers,Leesburg,n,31,L,K.elegans
631,M,6.23,3.38,9.18,212,Ft.Myers,Lake_Wales,y,32,L,K.elegans
634,F,6.29,3.49,7.84,212,Ft.Myers,Key_Largo,y,27,S,K.elegans
636,M,5.68,3.25,9.18,421,GainesvilleBV,Lake_Wales,n,33,L,K.elegans
637,F,7.23,3.82,10.13,421,GainesvilleBV,Lake_Wales,y,34,L,K.elegans
640,M,5.26,2.94,8.2,421,GainesvilleBV,HomesteadBV,y,31,L,K.elegans
641,M,5.36,3.42,8.01,428,GainesvilleBV,Leesburg,n,26,L,K.elegans
642,M,5.41,3.2,6.78,428,GainesvilleBV,Lake_Wales,n,27,S,K.elegans
643,M,5.36,3.09,5.82,428,GainesvilleBV,HomesteadGRT,y,27,S,K.elegans
646,F,5.98,3.45,5.8,428,GainesvilleBV,Key_Largo,y,27,S,K.elegans
