filename,channel_num,channel_letter,channel_chamber,ID,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set023-10-21-19-A1.txt,1,A,A-1,48,0.1956418824003957,26.700000000000045,6.911300000000001,0,21.299999999999955,0.014833333333333358,1800.0,0.27317391304348365
set023-10-21-19-A2.txt,2,A,A-2,205,0.11750978037062451,0,2.5132,0,0,0,1800.0,0.1336808510638297
set023-10-21-19-A3.txt,3,A,A-3,348,0.23784434124769635,1706.9999999999998,379.49320000000364,87.59999999999991,1479.8,0.9483333333333333,1800.0,0.3695882352941201
set023-10-21-19-A4.txt,4,A,A-4,234,0,0,0,0,0,0,1800.0,0
set023-10-21-19-B1.txt,1,B,B-1,320,0,0,0,0,0,0,1800.0,0
set023-10-21-19-B2.txt,2,B,B-2,263,0,0,1.2566,0,0,0,1800.0,0
set023-10-21-19-B3.txt,3,B,B-3,376,0.4519991959512966,1797.8,807.3654999999934,0,1797.8,0.9987777777777778,1800.0,0.6283
set023-10-21-19-B4.txt,4,B,B-4,408,0.14556002546981317,731.3000000000001,4.3980999999999995,0,722.1,0.4062777777777778,1800.0,0.190393939393942
set024-10-21-19-A1.txt,1,A,A-1,54,0.21931635567721752,1496.4,5.0264,0,1483.0,0.8313333333333334,1800.0,0.31415
set024-10-21-19-A2.txt,2,A,A-2,76,0.1517575524833609,1119.4,3.1414999999999997,0,1113.3,0.6218888888888889,1800.0,0.1495952380952385
set024-10-21-19-A3.txt,3,A,A-3,189,0,0,0,0,0,0,1800.0,0
set024-10-21-19-A4.txt,4,A,A-4,270,0,0,0,0,0,0,1800.0,0
set025-10-21-19-A1.txt,1,A,A-1,286,0.219336459701246,1724.3000000000002,165.24289999999948,0,973.0000000000001,0.9579444444444446,1800.0,0.3306842105263395
set025-10-21-19-A2.txt,2,A,A-2,417,0.15482564252020634,715.9,5.6547,0,701.3,0.3977222222222222,1800.0,0.19039393939393873
set025-10-21-19-A3.txt,3,A,A-3,308,0.2319049432841136,728.0,10.681099999999999,0,689.8,0.40444444444444444,1800.0,0.4487857142857142
set025-10-21-19-A4.txt,4,A,A-4,154,0,0,0,0,0,0,1800.0,0
set026-10-21-19-A1.txt,1,A,A-1,111,0.18372520631763783,538.9000000000001,23.24709999999999,219.5,221.5,0.2993888888888889,1800.0,0.3306842105263157
set026-10-21-19-A2.txt,2,A,A-2,91,0.28554697746455643,1648.8,121.26189999999976,0,1231.4,0.9159999999999999,1800.0,0.3695882352941077
set026-10-21-19-A3.txt,3,A,A-3,404,0.2232387934561701,1087.1000000000001,9.4245,0,387.39999999999986,0.6039444444444445,1800.0,0.33068421052631974
set026-10-21-19-A4.txt,4,A,A-4,353,0,0,0,0,0,0,1800.0,0
set027-10-21-19-A1.txt,1,A,A-1,159,0.170732437597864,22.09999999999991,5.6547,0,22.09999999999991,0.012277777777777728,1800.0,0.190393939393942
set027-10-21-19-A2.txt,2,A,A-2,46,0.2564484076717214,374.90000000000003,3.7697999999999996,0,350.0,0.20827777777777778,1800.0,0.1653421052631574
set027-10-21-19-A3.txt,3,A,A-3,50,0.1879290178571432,0,5.0264,0,0,0,1800.0,0.1795142857142857
set027-10-21-19-A4.txt,4,A,A-4,84,0,0,0,0,0,0,1800.0,0
set027-10-21-19-B1.txt,1,B,B-1,12,0,0,0,0,0,0,1800.0,0
set027-10-21-19-B2.txt,2,B,B-2,213,0,0,0.6283,0,0,0,1800.0,0
set027-10-21-19-B3.txt,3,B,B-3,16,0,0,0,0,0,0,1800.0,0
set027-10-21-19-B4.txt,4,B,B-4,183,0.2253908845344548,842.1000000000001,38.32630000000001,78.10000000000001,376.5,0.46783333333333343,1800.0,0.6981111111110846
set028-10-21-19-A1.txt,1,A,A-1,18,0,0,0,0,0,0,1800.0,0
set028-10-21-19-A2.txt,2,A,A-2,59,0,0,0,0,0,0,1800.0,0
set028-10-21-19-A3.txt,3,A,A-3,337,0.10300000000000153,0,3.7697999999999996,0,0,0,1800.0,0
set028-10-21-19-A4.txt,4,A,A-4,319,0.45845536649145996,1796.3000000000002,821.8163999999927,0,1796.3000000000002,0.9979444444444445,1800.0,0.523583333333363
set028-10-21-19-B1.txt,1,B,B-1,311,0,0,1.2566,0,0,0,1800.0,0
set028-10-21-19-B2.txt,2,B,B-2,245,0.24387960526316976,0,2.5132,0,0,0,1800.0,0.157075
set028-10-21-19-B3.txt,3,B,B-3,252,0,0,0,0,0,0,1800.0,0
set028-10-21-19-B4.txt,4,B,B-4,284,0,0,0,0,0,0,1800.0,0
set029-10-21-19-A1.txt,1,A,A-1,323,0.3123923886489849,1797.3,549.7625000000068,0,1797.3,0.9984999999999999,1800.0,0.5235833333333328
set029-10-21-19-A2.txt,2,A,A-2,90,0.2798209096356208,279.90000000000003,6.283,132.0,143.1,0.15550000000000003,1800.0,0.5235833333333383
set029-10-21-19-A3.txt,3,A,A-3,340,0,0,0,0,0,0,1800.0,0
set029-10-21-19-A4.txt,4,A,A-4,65,0,0,0,0,0,0,1800.0,0
set029-10-21-19-B1.txt,1,B,B-1,336,0.20302291386977422,46.4,5.0264,0,32.8,0.025777777777777778,1800.0,0.24165384615384614
set029-10-21-19-B2.txt,2,B,B-2,343,0,0,0,0,0,0,1800.0,0
set029-10-21-19-B3.txt,3,B,B-3,409,0,0,0.6283,0,0,0,1800.0,0
set029-10-21-19-B4.txt,4,B,B-4,342,0,0,0,0,0,0,1800.0,0
set030-10-21-19-A1.txt,1,A,A-1,119,0.1571732332707942,0,1.8849,0,0,0,1800.0,0.15324390243902566
set030-10-21-19-A2.txt,2,A,A-2,2,0,0,0,0,0,0,1800.0,0
set030-10-21-19-A3.txt,3,A,A-3,380,0.34524319358948846,1791.7,615.1057000000034,0,1791.7,0.9953888888888889,1800.0,0.448785714285758
set030-10-21-19-A4.txt,4,A,A-4,missing ID,0,0,0,0,0,0,1800.0,0
set031-10-23-19-A1.txt,1,A,A-1,245,0,0,0.6283,0,0,0,3600.0,0
set031-10-23-19-A2.txt,2,A,A-2,333,0,0,1.2566,0,0,0,3600.0,0
set031-10-23-19-A3.txt,3,A,A-3,329,0.2182607209853673,3355.9000000000005,631.4415000000025,156.89999999999964,1672.1,0.9321944444444445,3600.0,0.4833076923076923
set031-10-23-19-A4.txt,4,A,A-4,226,0.20870489720051286,17.400000000000134,9.4245,0,11.299999999999997,0.00483333333333337,3600.0,0.33068421052631725
set031-10-23-19-B1.txt,1,B,B-1,103,0.27514121140444275,3468.7000000000003,887.1595999999893,0,1948.6000000000001,0.9635277777777779,3600.0,0.5235833333333321
set031-10-23-19-B2.txt,2,B,B-2,96,0.2582898780911734,3481.6,853.231399999991,0,3481.6,0.967111111111111,3600.0,0.3926875000000223
set031-10-23-19-B3.txt,3,B,B-3,109,0.306317762968496,66.70000000000016,20.73389999999999,0,30.200000000000045,0.018527777777777824,3600.0,0.5235833333333134
set031-10-23-19-B4.txt,4,B,B-4,390,0,0,1.2566,0,0,0,3600.0,0
set032-10-23-19-A1.txt,1,A,A-1,421,0,0,0,0,0,0,3600.0,0
set032-10-23-19-A2.txt,2,A,A-2,65,0,0,1.2566,0,0,0,3600.0,0
set032-10-23-19-A3.txt,3,A,A-3,125,0.20677494449542305,2586.6,277.0802999999997,0,1409.4,0.7185,3600.0,0.3926875000000223
set032-10-23-19-A4.txt,4,A,A-4,197,0.24208691756272402,2174.2999999999997,2.5132,0,2171.2,0.6039722222222221,3600.0,0.31415000000000004
set032-10-23-19-B1.txt,1,B,B-1,402,0,0,0,0,0,0,3600.0,0
set032-10-23-19-B2.txt,2,B,B-2,74,0,0,0.6283,0,0,0,3600.0,0
set032-10-23-19-B3.txt,3,B,B-3,235,0.3290028000642692,3507.1,990.8290999999839,266.7999999999997,2450.5,0.9741944444444445,3600.0,0.5235833333333134
