,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
221,129,set021-10-21-19-A2.txt,2,A,A-2,21,0.286,1794.0,493.216,0,1794.0,0.997,1800.0,0.483,B,10.21,9:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
228,413,set021-10-21-19-A4.txt,4,A,A-4,21,0,0,0,0,0,0,1800.0,0,D,10.21,9:00,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,K.elegans,F,6.78,3.25,9.03,11.85,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
229,128,set021-10-21-19-B1.txt,1,B,B-1,21,0,0,0,0,0,0,1800.0,0,B,10.21,9:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,K.elegans,M,5.88,2.89,7.94,10.62,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
232,96,set021-10-21-19-B4.txt,4,B,B-4,21,0.283,1796.3,502.64,0,1796.3,0.998,1800.0,0.393,A,10.21,9:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
238,136,set022-10-21-19-A1.txt,1,A,A-1,22,0.178,1275.9,3.77,0,1268.0,0.709,1800.0,0.251,B,10.21,10:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,paint came off at 40%,,,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
244,152,set022-10-21-19-A3.txt,3,A,A-3,22,0.258,805.7,5.655,0,801.6,0.448,1800.0,0.331,D,10.21,10:00,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461,K.elegans,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
249,134,set022-10-21-19-B1.txt,1,B,B-1,22,0.164,17.4,4.398,0,9.2,0.01,1800.0,0.209,B,10.21,10:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,K.elegans,M,5.27,3.16,8.45,11.21,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
251,48,set023-10-21-19-A1.txt,1,A,A-1,23,0.196,26.7,6.911,0,21.3,0.015,1800.0,0.273,A,10.21,10:40,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.12846,-80.40809,C.corindum,F,8.56,3.55,9.12,12.58,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
253,234,set023-10-21-19-A4.txt,4,A,A-4,23,0,0,0,0,0,0,1800.0,0,E,10.21,10:40,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981,C.corindum,F,8.64,3.99,9.71,13.56,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
256,263,set023-10-21-19-B2.txt,2,B,B-2,23,0,0,1.257,0,0,0,1800.0,0,C,10.21,10:40,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,C.corindum,F,6.56,3.19,8.32,11.34,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
