ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,filename
319,C,10.21,3:25,28,A-4,F,Lake Placid,Y,,continuous,,set028-10-21-19-A4.txt
311,C,10.21,3:25,28,B-1,M,Lake Placid,Y,,bursts,,set028-10-21-19-B1.txt
245,E,10.21,3:25,28,B-2,F,North Key Largo,N,,,,set028-10-21-19-B2.txt
252,E,10.21,3:25,28,B-3,F,North Key Largo,N,,,,set028-10-21-19-B3.txt
284,C,10.21,3:25,28,B-4,M,North Key Largo,N,,,,set028-10-21-19-B4.txt
323,C,10.21,4:10,29,A-1,M,Lake Placid,Y,,continuous,,set029-10-21-19-A1.txt
90,Petri1,10.21,4:10,29,A-2,F,Homestead,Y,,bursts,,set029-10-21-19-A2.txt
340,D,10.21,4:10,29,A-3,F,Lake Placid,N,,,,set029-10-21-19-A3.txt
65,B,10.21,4:10,29,A-4,F,Key Largo,N,,,,set029-10-21-19-A4.txt
336,D,10.21,4:10,29,B-1,F,Lake Placid,Y,,bursts,,set029-10-21-19-B1.txt
343,D,10.21,4:10,29,B-2,M,Lake Placid,N,,,,set029-10-21-19-B2.txt
409,D,10.21,4:10,29,B-3,M,Gainesville,N,,,,set029-10-21-19-B3.txt
342,D,10.21,4:10,29,B-4,F,Lake Placid,N,,,,set029-10-21-19-B4.txt
119,A,10.21,4:50,30,A-1,M,Homestead,N,,,,set030-10-21-19-A1.txt
2,Petri1,10.21,4:50,30,A-2,F,Plantation Key,N,,,,set030-10-21-19-A2.txt
380,D,10.21,4:50,30,A-3,F,Leesburg,Y,,continuous,,set030-10-21-19-A3.txt
147,Petri1,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,NA
374,Petri2,NA,NA,NA,NA,F,Leesburg,NA,Y,,,NA
267,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
403,Petri2,NA,NA,NA,NA,F,Gainesville,NA,Y,,,NA
228,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
345,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
215,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
57,B,NA,NA,NA,NA,M,Key Largo,NA,Y,,,NA
140,Petri1,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,NA
72,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
206,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
297,Petri2,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
411,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,NA
246,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
1,Petri1,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,NA
418,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,NA
394,,NA,NA,NA,NA,F,Leesburg,NA,Y,,,NA
22,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,NA
212,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
194,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
293,Petri2,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,NA
42,Petri1,NA,NA,NA,NA,F,Key Largo,NA,Y,,,NA
83,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
