ID,box,test_date,time_start,set_number,chamber,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end
351,D,10.18,2:15,19,B-3,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,set019-10-18-19-B3.txt,,,,
235,E,10.18,2:15,19,B-4,F,North Key Largo,Carysfort,C. corindum ,Y,,C,continuous,,set019-10-18-19-B4.txt,,,Y,
73,B,10.18,3:00,20,A-1,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,set020-10-18-19-A1.txt,,,,
49,A,10.18,3:00,20,A-2,M,Key Largo,JP Grove,C. corindum ,Y,,C,continuous,,set020-10-18-19-A2.txt,,,,
123,A,10.18,3:00,20,A-3,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set020-10-18-19-A3.txt,,,,
239,Petri2,10.18,3:00,20,A-4,F,North Key Largo,DD front,C. corindum ,N,,,,,set020-10-18-19-A4.txt,,,Y,
108,A,10.18,3:00,20,B-1,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set020-10-18-19-B1.txt,,,,
276,C,10.18,3:00,20,B-2,M,North Key Largo,DD,C. corindum ,Y,,C,,started halfway through,set020-10-18-19-B2.txt,,,,
92,A,10.18,3:00,20,B-3,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set020-10-18-19-B3.txt,,,,
103,A,10.18,3:00,20,B-4,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,set020-10-18-19-B4.txt,,,,
421,D,10.21,9:00,21,A-1,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,set021-10-21-19-A1.txt,,,,
129,B,10.21,9:00,21,A-2,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,set021-10-21-19-A2.txt,,,,
335,D,10.21,9:00,21,A-3,F,Lake Placid,Barber shop,K. elegans,N,,,,,set021-10-21-19-A3.txt,,,Y,
413,D,10.21,9:00,21,A-4,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,set021-10-21-19-A4.txt,,,Y,
128,B,10.21,9:00,21,B-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set021-10-21-19-B1.txt,,,,
208,E,10.21,9:00,21,B-2,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,set021-10-21-19-B2.txt,,,Y,
156,D,10.21,9:00,21,B-3,F,Lake Wales,Polk,K. elegans,N,,,,,set021-10-21-19-B3.txt,,,,
96,A,10.21,9:00,21,B-4,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,set021-10-21-19-B4.txt,,,,
136,B,10.21,10:00,22,A-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,paint came off at 40%,set022-10-21-19-A1.txt,,,,
214,E,10.21,10:00,22,A-2,M,North Key Largo,Charlemagne,C. corindum ,N,,,,,set022-10-21-19-A2.txt,,,,
152,D,10.21,10:00,22,A-3,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,set022-10-21-19-A3.txt,,,,
330,C,10.21,10:00,22,A-4,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,set022-10-21-19-A4.txt,,,,
134,B,10.21,10:00,22,B-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,set022-10-21-19-B1.txt,,,,
272,C,10.21,10:00,22,B-2,F,North Key Largo,DD,C. corindum ,N,Y,,,"died immediately after trial, should probably be excluded",set022-10-21-19-B2.txt,,,,
204,E,10.21,10:00,22,B-3,M,North Key Largo,Charlemagne,C. corindum ,N,,,,,set022-10-21-19-B3.txt,,,,
391,Petri1,10.21,10:00,22,B-4,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,set022-10-21-19-B4.txt,,,,
48,A,10.21,10:40,23,A-1,F,Key Largo,JP Grove,C. corindum ,N,,,,,set023-10-21-19-A1.txt,,,Y,
205,E,10.21,10:40,23,A-2,M,North Key Largo,Charlemagne,C. corindum ,N,,,,,set023-10-21-19-A2.txt,,,,
348,D,10.21,10:40,23,A-3,M,Lake Placid,Barber shop,K. elegans,Y,,C,,,set023-10-21-19-A3.txt,,,,
234,E,10.21,10:40,23,A-4,F,North Key Largo,Carysfort,C. corindum ,N,,,,,set023-10-21-19-A4.txt,,,Y,
320,C,10.21,10:40,23,B-1,F,Lake Placid,Barber shop,K. elegans,N,,,,,set023-10-21-19-B1.txt,,,Y,
263,C,10.21,10:40,23,B-2,F,North Key Largo,DD,C. corindum ,N,,,,,set023-10-21-19-B2.txt,,,Y,
376,D,10.21,10:40,23,B-3,F,Leesburg,Veteran’s Memorial Park,K. elegans,Y,,C,continuous,,set023-10-21-19-B3.txt,,,Y,
408,D,10.21,10:40,23,B-4,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,set023-10-21-19-B4.txt,,,,
54,B,10.21,11:20,24,A-1,M,Key Largo,JP Grove,C. corindum ,Y,,B,bursts,non-J.haematoloma,set024-10-21-19-A1.txt,,,,
76,B,10.21,11:20,24,A-2,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,set024-10-21-19-A2.txt,,,Y,
189,E,10.21,11:20,24,A-3,M,North Key Largo,N. Dagny,C. corindum ,N,,,,,set024-10-21-19-A3.txt,,,,
270,C,10.21,11:20,24,A-4,F,North Key Largo,DD,C. corindum ,N,,,,,set024-10-21-19-A4.txt,,,Y,
114,A,10.21,11:20,24,B-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,no recording,NA,,,,
210,E,10.21,11:20,24,B-2,M,North Key Largo,Charlemagne,C. corindum ,N,,,,no recording,NA,,,,
107,A,10.21,11:20,24,B-3,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,no recording,NA,,,Y,
306,C,10.21,11:20,24,B-4,F,Lake Placid,Barber shop,K. elegans,N,,,,no recording,NA,,,Y,
286,Petri2,10.21,12:00,25,A-1,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,,set025-10-21-19-A1.txt,,,,
417,D,10.21,12:00,25,A-2,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,set025-10-21-19-A2.txt,,,,
308,C,10.21,12:00,25,A-3,M,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,set025-10-21-19-A3.txt,,,,
154,D,10.21,12:00,25,A-4,F,Lake Wales,Polk,K. elegans,N,,,,,set025-10-21-19-A4.txt,,,Y,
315,C,10.21,12:00,25,B-1,F,Lake Placid,Barber shop,K. elegans,N,,,,no recording,NA,,,Y,
406,D,10.21,12:00,25,B-2,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,no recording,NA,,,,
420,D,10.21,12:00,25,B-3,M,Gainesville,NW 10th Ave & 18th St,K. elegans,NA,,,,no recording; paint came off pre-trail,NA,,,,
392,Petri1,10.21,12:00,25,B-4,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,no recording,NA,,,Y,
111,A,10.21,12:35,26,A-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,set026-10-21-19-A1.txt,,,,
91,Petri1,10.21,12:35,26,A-2,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,set026-10-21-19-A2.txt,,,,
404,Petri2,10.21,12:35,26,A-3,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,set026-10-21-19-A3.txt,,,Y,
353,D,10.21,12:35,26,A-4,M,Lake Placid,Barber shop,K. elegans,N,,,,,set026-10-21-19-A4.txt,,,,
325,C,10.21,12:35,26,B-1,F,Lake Placid,Barber shop,K. elegans,N,,,,no recording,NA,,,Y,
196,E,10.21,12:35,26,B-2,F,North Key Largo,Charlemagne,C. corindum ,N,,,,no recording,NA,,,,
399,D,10.21,12:35,26,B-3,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,no recording,NA,,,,
