ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude
351,set019-10-18-19-B3.txt,3,B,B-3,19,0.457,1239.0,566.727,0,1236.1,0.688,1800.0,0.524,D,10.18,2:15,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
235,set019-10-18-19-B4.txt,4,B,B-4,19,0.19,1671.2,305.354,0,1671.2,0.928,1800.0,0.331,E,10.18,2:15,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,C,continuous,,,,Y,,25.25647566,-80.31068981
73,set020-10-18-19-A1.txt,1,A,A-1,20,0,0,0,0,0,0,1800.0,0,B,10.18,3:00,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055
49,set020-10-18-19-A2.txt,2,A,A-2,20,0.45,1797.0,776.579,0,1797.0,0.998,1800.0,0.628,A,10.18,3:00,M,Key Largo,JP Grove,C. corindum ,Y,,C,continuous,,,,,,25.12846,-80.40809
123,set020-10-18-19-A3.txt,3,A,A-3,20,0,0,0,0,0,0,1800.0,0,A,10.18,3:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562
239,set020-10-18-19-A4.txt,4,A,A-4,20,0,0,0,0,0,0,1800.0,0,Petri2,10.18,3:00,F,North Key Largo,DD front,C. corindum ,N,,,,,,,Y,,25.27352007,-80.30428184
108,set020-10-18-19-B1.txt,1,B,B-1,20,0,0,0.628,0,0,0,1800.0,0,A,10.18,3:00,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562
276,set020-10-18-19-B2.txt,2,B,B-2,20,0.445,993.2,440.438,0,993.2,0.552,1800.0,0.524,C,10.18,3:00,M,North Key Largo,DD,C. corindum ,Y,,C,,started halfway through,,,,,25.28636983,-80.29077075
92,set020-10-18-19-B3.txt,3,B,B-3,20,0,0,0,0,0,0,1800.0,0,A,10.18,3:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562
103,set020-10-18-19-B4.txt,4,B,B-4,20,0.185,37.1,15.707,0,17.3,0.021,1800.0,0.314,A,10.18,3:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562
