ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
153,set013-3-05-2020-A4_153.txt,T2,A-4,A,4,13,0.7282262509838469,952.1399999999994,86.70539999999998,63.4300000000003,379.6199999999999,0.4357321007711139,2185.1499999999996,1.3962222222227865
154,set013-3-05-2020-A4_154.txt,T2,A-4,A,4,13,0.25334677419359297,0,1.8849,0,0,0,6456.470000000001,0
164,set013-3-05-2020-A4_164.txt,T2,A-4,A,4,13,0.2829226809303464,9566.900000000001,2629.435499999979,0,5464.810000000001,0.3873033454500997,24701.309999999998,1.3089583333345238
28,set013-3-05-2020-A4_28.txt,T2,A-4,A,4,13,0.8089546052959047,50.409999999999854,16.335799999999995,0,34.11000000000058,0.021028787872467296,2397.1899999999987,1.3658695652091817
30,set013-3-05-2020-A4_30.txt,T2,A-4,A,4,13,0,0,0,0,0,0,1927.3499999999985,0
352,set013-3-05-2020-A4_352.txt,T2,A-4,A,4,13,0.6574935273297178,48.55999999999767,7.539600000000001,0,34.779999999998836,0.023993635954877343,2023.8700000000026,1.2822448979549947
41,set013-3-05-2020-A4_41.txt,T2,A-4,A,4,13,0.5005393791362028,411.7499999999991,38.32630000000001,66.96999999999935,281.0699999999997,0.18480783127392805,2227.9900000000007,1.3368085106375736
425,set013-3-05-2020-A4_425.txt,T2,A-4,A,4,13,0.21282952500703467,0,2.5132,0,0,0,2224.1500000000005,0.2628870292886669
52,set013-3-05-2020-A4_52.txt,T2,A-4,A,4,13,0.38466295958040214,682.9200000000019,28.273499999999984,0,617.3000000000011,0.3004236337481699,2273.1899999999987,0.6283
183,set013-3-05-2020-B1_183.txt,T2,B-1,B,1,13,0.3198854818168638,24036.45,7479.283200001299,0,24036.45,0.941466154502373,25530.87,0.5416379310345507
229,set013-3-05-2020-B1_229.txt,T2,B-1,B,1,13,0,0,0,0,0,0,2984.91,0
27,set013-3-05-2020-B1_27.txt,T2,B-1,B,1,13,0,0,0,0,0,0,3315.19,0
112,set013-3-05-2020-B2_112.txt,T2,B-2,B,2,13,0,0,0.6283,0,0,0,2978.390000000003,0
137,set013-3-05-2020-B2_137.txt,T2,B-2,B,2,13,0.39139312078817157,28.470000000001164,12.565999999999997,0,28.470000000001164,0.014362901639096749,1982.1899999999987,0.5108130081302625
149,set013-3-05-2020-B2_149.txt,T2,B-2,B,2,13,0,0,0,0,0,0,2235.75,0
310,set013-3-05-2020-B2_310.txt,T2,B-2,B,2,13,0.3701878627859793,46.05,20.73389999999999,0,35.040000000000006,0.013854665908496024,3323.79,0.4245270270270259
371,set013-3-05-2020-B2_371.txt,T2,B-2,B,2,13,0.200434060435278,1897.3200000000006,363.78570000000303,0,1897.3200000000006,0.8510489416387448,2229.3899999999994,0.39765822784811955
392,set013-3-05-2020-B2_392.txt,T2,B-2,B,2,13,0,0,0,0,0,0,2237.95,0
90,set013-3-05-2020-B2_90.txt,T2,B-2,B,2,13,0.21356441071998097,15098.0,3148.4112999998583,82.73999999999796,14852.980000000001,0.8963711159280124,16843.47,0.3414673913043208
217,set013-3-05-2020-B3_217.txt,T2,B-3,B,3,13,0,0,0,0,0,0,6481.07,0
327,set013-3-05-2020-B3_327.txt,T2,B-3,B,3,13,0,0,0,0,0,0,2970.3100000000013,0
329,set013-3-05-2020-B3_329.txt,T2,B-3,B,3,13,0.2890432144083908,0,1.8849,0,0,0,2352.0699999999997,0.15067146282966784
345,set013-3-05-2020-B3_345.txt,T2,B-3,B,3,13,0,0,0,0,0,0,2230.1900000000005,0
350,set013-3-05-2020-B3_350.txt,T2,B-3,B,3,13,0.2763741563501215,8095.919999999998,2165.750100000087,0,8095.919999999998,0.8100885843021771,9993.869999999999,0.4870542635669354
43,set013-3-05-2020-B3_43.txt,T2,B-3,B,3,13,0.2699157061148273,1666.87,446.72130000000624,0,1666.87,0.2992440222825823,5570.27,0.3306842105263395
57,set013-3-05-2020-B3_57.txt,T2,B-3,B,3,13,0.3592753264604865,0,1.8849,0,0,0,2233.1499999999996,0.50264
19,set013-3-05-2020-B4_19.txt,T2,B-4,B,4,13,0.2487926124124004,6622.520000000004,1621.0140000000592,0,5913.2800000000025,0.8376585348577474,7905.990000000002,0.32554404145072807
