ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,overnight
355,,D-1,004,8.19.21,11:30,16:41,28/28,70,Homestead,Y,C,355,0.073,N,bug keep getting stuck,
224,,D-2,004,8.19.21,11:30,12:07,28/28,70,Homstead,N,,224,0.054,N,,
15,,D-3,004,8.19.21,11:31,12:07,28/28,70,Key Largo,N,,15,0.032,N,,
111,Y,,,,,,28/28,70,Key Largo,,,111,,,,
47,,D-4,004,8.19.21,11:32,12:08,28/28,70,Lake Placid,N,,47,0.083,N,,
155,,C-1,004,8.19.21,11:33,12:06,28/28,70,Lake Placid,Y,B,155,0.063,N,,
31,,C-1,004,8.19.21,12:10,12:57,28/28,70,Homstead,Y,B,31,0.031,N,,
73,,C-2,004,8.19.21,12:18,12:57,28/28,70,Lake Wales,Y,B,73,0.093,N,,
126,,C-3,004,8.19.21,12:19,12:57,28/28,70,Homestead,Y,B,126,0.040,N,,
247,,D-2,004,8.19.21,12:20,13:47,28/28,70,Lake Place,Y,BC,247,0.055,N,comment in C session ,
112,,D-3,004,8.19.21,12:21,12:42,28/28,70,Key Largo,N,,112,0.035,N,paint came off; comment in C session,
304,,D-4,004,8.19.21,12:22,12:59,28/28,70,Plantation Key,N,,304,0.042,N,comment in C session ,
78,,C-1,004,8.19.21,13:02,13:32,28/28,70,Lake Wales,Y,B,78,0.055,N,,
13,Y,,,,,,28/28,70,Key Largo,,,13,,,,
347,,C-2,004,8.19.21,13:03,13:36,28/28,70,Homestead,,,347,0.036,N,lost bug,
85,,C-3,004,8.19.21,13:04,13:40,28/28,70,Leesburg,Y,B,85,0.043,N,,
132,,D-3,004,8.19.21,13:05,13:43,28/28,70,Homestead,Y,B,132,0.045,N,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
141,,D-1,004,8.19.21,13:05,13:43,28/28,70,Homestead,Y,B,141,0.043,N,comment in C session ,
199,Y,,,,,,28/28,70,Leesburg,,,199,,,,
321,,C-1,004,8.19.21,13:46,14:25,28/28,70,Plantation Key,N?,,321,0.036,N,,
121,,C-2,004,8.19.21,13:46,14:25,28/28,70,Homestead,Y,BC,121,0.030,N,small dips,
295,,C-3,004,8.19.21,13:47,14:26,28/28,70,Leesburg,Y,B,295,0.040,N,,
130,,C-4,004,8.19.21,13:48,16:41,28/28,70,Homestead,Y,BC,130,0.083,N,,
107,,D-2,004,8.19.21,13:50,14:26,28/28,70,Plantation Key,Y,BC,107,0.039,N,comment in C session ,
372,,D-3,004,8.19.21,13:50,15:44,28/28,70,Lake Placid,Y,BC,372,0.038,N,comment in C session ,
97,,D-4,004,8.19.21,13:51,14:27,28/28,70,Gainesville,Y,B,97,0.043,N,comment in C session ,
63,,C-1,004,8.19.21,14:28,15:06,28/28,70,Lake Placid,N,,63,0.036,N,,
333,,C-2,004,8.19.21,14:29,7:57,28/28,70,Plantation Key,Y,B,333,0.035,N,,Y
218,,C-3,004,8.19.21,14:30,3:43,28/28,70,Homstead,Y,C,218,0.037,N,,
205,,D-2,004,8.19.21,14:31,3:07,28/28,70,Plantation Key,N,,205,0.034,N,,
209,,D-4,004,8.19.21,14:33,3:07,28/28,70,Plantation Key,Y,B,209,0.086,N,escaped,
161,,C-1,004,8.19.21,15:10,16:42,28/28,70,Lake Placid,Y,C,161,0.035,N,,
226,,D-2,004,8.19.21,15:11,16:42,28/28,70,Homstead,Y,B,226,0.036,N,,
106,,C-1,005,8.23.21,9:26,10:09,28/28,70,Plantation Key,Y,C,106,0.040,N,,
273,Y,,,,,,28/28,70,Lake Wales,,,273,,,,
8,,C-2,005,8.23.21,9:27,10:04,28/28,70,Plantation Key,Y,B,8,0.030,N,,
360,,C-3,005,8.23.21,9:28,10:05,28/28,70,Homestead,Y,B,360,0.029,N,,
95,Y,,,,,,28/28,70,Gainesville,,,95,,,,
5,,C-4,005,8.23.21,9:28,14:13,28/28,70,Plantation Key,Y,C,5,0.032,N,,
150,,D-1,005,8.23.21,9:29,10:09,28/28,70,Lake Placid,N,,150,0.050,N,,
389,,D-2,005,8.23.21,9:30,10:09,28/28,70,Leesburg,N,,389,0.057,N,,
76,Y,,,,,,28/28,70,Lake Wales,,,76,,,,
285,,D-3,005,8.23.21,9:30,10:08,28/28,70,Leesburg,N?,,285,0.040,N,,
233,,D-4,005,8.23.21,9:31,14:14,28/28,70,Homstead,Y,C,233,0.050,N,,
40,Y,,,,,,28/28,70,Homstead,,,40,,,,
42,,,005,8.23.21,,,28/28,70,Homstead,,,42,,,no paint,
240,,C-2,005,8.23.21,10:15,10:52,28/28,70,Homstead,N,,240,0.037,N,,
213,,C-1,005,8.23.21,10:16,10:51,28/28,70,Homstead,Y,B,213,0.055,N,light on and off 10:51-10:53,
282,,C-3,005,8.23.21,10:17,10:52,28/28,70,Leesburg,N,,282,0.044,N,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
184,,D-2,005,8.23.21,10:19,10:52,28/28,70,Leesburg,N,,184,0.062,N,,
117,,D-1,005,8.23.21,10:20,10:52,28/28,70,Key Largo,N,,117,0.038,N,,
238,,D-3,005,8.23.21,10:20,10:53,28/28,70,Homstead,Y,B,238,0.031,N,,
181,,C-1,005,8.23.21,10:56,11:33,28/28,70,Leesburg,N,,181,0.031,N,,
314,,C-2,005,8.23.21,10:57,11:34,28/28,70,Plantation Key,N,,314,0.037,N,,
83,Y,,,,,,28/28,70,Leesburg,,,83,,,,
195,,C-3,005,8.23.21,10:58,11:34,28/28,70,Leesburg,N,,195,0.032,N,,
335,,D-1,005,8.23.21,10:59,11:34,28/28,70,Plantation Key,N,,335,0.051,Y,,
92,Y,,,,,,28/28,70,Gainesville,,,92,,,,
256,,,,,,,28/28,70,Lake Place,,,256,,,escaped,
4,,D-2,005,8.23.21,11:00,11:35,28/28,70,Plantation Key,N,,4,0.027,N,,
197,Y,,,,,,28/28,70,Leesburg,,,197,,,,
33,,C-1,005,8.23.21,11:35,12:14,28/28,70,Homstead,N,,33,0.111,N,,
43,,C-2,005,8.23.21,11:37,12:13,28/28,70,Homstead,N,,43,0.079,N,,
154,,C-3,005,8.23.21,11:39,12:13,28/28,70,Lake Placid,Y,B,154,0.037,N,,
