ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
69,,,M,Lake Wales,Alley,K. elegans,N,,0.245864999,
304,,,M,Plantation Key,Founder's,K. elegans,N,,0.312087842,
151,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.318182324,
140,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.925216547,
349,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.329144855,
228,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.466395138,
227,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.751921824,
154,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.05712945,
191,,,F,Leesburg,Vet's Park,K. elegans,N,,0.903999763,
370,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.518221025,
388,,,F,Leesburg,Vet's Park,K. elegans,N,,0.979461247,
231,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.933372973,
209,,,F,Plantation Key,Founder's,C. corindum,N,,0.673066757,
305,,,M,Plantation Key,Founder's,K. elegans,N,,0.75945114,
283,,,F,Leesburg,Vet's Park,K. elegans,N,,0.800892356,
240,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.069348374,
201,,,F,Plantation Key,Founder's,C. corindum,N,,0.113349035,
10,,,M,Plantation Key,Founder's,C. corindum,N,,0.988337305,
363,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.098530503,
168,,,M,Lake Wales,Alley,K. elegans,N,,0.432850626,
33,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.319734691,
307,,,M,Plantation Key,Founder's,K. elegans,N,,0.372978708,
32,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.013707314,
267,,,M,Lake Wales,Alley,K. elegans,N,,0.095509556,
352,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.633004618,
157,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.915120137,
371,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.212245849,
145,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.29705514,
354,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.467750258,
351,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.408900091,
306,,,M,Plantation Key,Founder's,K. elegans,N,,0.041274461,
164,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.021531506,
121,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.667550921,
160,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.961312547,
216,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.169449439,
256,,,M,Lake Place,Sheriff's,K. elegans,N,,0.217336653,
27,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.287443146,
301,,,M,Plantation Key,Founder's,K. elegans,N,,0.183987106,
66,,,M,Lake Wales,Alley,K. elegans,N,,0.606288955,
214,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.134885797,
376,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.57451081,
280,,,M,Lake Wales,Alley,K. elegans,N,,0.229846414,
322,,,M,Plantation Key,Founder's,K. elegans,N,,0.666116439,
396,,,M,Leesburg,Vet's Park,K. elegans,N,,0.769659749,
333,,,M,Plantation Key,Founder's,K. elegans,N,,0.32249943,
142,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.656023133,
218,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.228745443,
139,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.942346938,
16,,,F,Key Largo,JP Grove,C. corindum,N,,0.891549252,
62,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.028255946,
251,,,M,Lake Place,Sheriff's,K. elegans,N,,0.873810074,
374,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.844233605,
63,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.658135097,
