ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
138,set001-2-17-2020-A4_138.txt,T1,A-4,A,4,1,0.0,0.0,0.0,0.0,0.0,0.0,2188.710000000000,0.0,2020-02-17,11:02:00,11:35:00,1980.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.048,N,25.1755702,-80.36780089,,6.01,3.17,8.18,11.15,L,wings torn at the end,yes
153,set001-2-17-2020-A4_153.txt,T1,A-4,A,4,1,0.0,0.0,0.6283,0.0,0.0,0.0,2016.15,0.0,2020-02-17,11:39:00,12:11:00,1920.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.028000000000000000,N,25.491362,-80.485821,,5.32,2.57,7.47,10.35,L,,yes
179,set001-2-17-2020-A4_179.txt,T1,A-4,A,4,1,0.353500865640342,6.889999999999420,2.5132,0.0,6.889999999999420,0.0033123885253858800,2080.070000000000,0.2574999999999460,2020-02-17,12:13:00,12:45:00,1920.0,F,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.053,N,27.896740300000000,-81.58046540000000,3.0,6.99,3.39,8.98,12.65,L,,yes
199,set001-2-17-2020-A4_199.txt,T1,A-4,A,4,1,0.29322328835960500,7.510000000002040,1.8849,0.0,7.510000000002040,0.00401091652914298,1872.390000000000,0.2804910714288270,2020-02-17,14:32:00,15:06:00,2040.0,F,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.045,Y,29.66200224,-82.347313,38.0,6.49,3.22,8.96,12.25,L,,yes
208,set001-2-17-2020-A4_208.txt,T1,A-4,A,4,1,0.2197174318578710,1349.3700000000000,5.0264,0.0,1346.9900000000000,0.6109533964493840,2208.630000000000,0.26399159663854200,2020-02-17,13:25:00,13:59:00,2040.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.04,N,24.96424,-80.5673321,,5.77,2.86,8.0,11.06,L,,yes
213,set001-2-17-2020-A4_213.txt,T1,A-4,A,4,1,0.31415,0.0,2.5132,0.0,0.0,0.0,1970.4300000000000,0.0,2020-02-17,9:55:00,10:27:00,1920.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.044000000000000000,N,25.1000151,-80.437522,,5.99,3.16,8.02,11.12,L,wings torn at the end,yes
242,set001-2-17-2020-A4_242.txt,T1,A-4,A,4,1,0.3179765811939440,2232.79,686.1036000000000,0.0,2232.79,0.938466452868413,2379.1900000000000,0.40275641025654200,2020-02-17,9:15:00,09:55:00,2400.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,25.2275238,-80.3283788,,6.15,3.04,8.24,11.48,L,,yes
338,set001-2-17-2020-A4_338.txt,T1,A-4,A,4,1,0.29163933228591400,2721.94,767.1542999999960,0.0,2721.94,0.6486384725919180,4196.39,0.3926875000000000,2020-02-17,8:15:00,09:15:00,3600.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.038,N,25.2565615,-80.3108042,,6.0,3.3,7.35,10.71,L,wings torn at the end,yes
356,set001-2-17-2020-A4_356.txt,T1,A-4,A,4,1,0.2599632816874870,590.5199999999970,11.309400000000000,0.0,569.8799999999970,0.2977206612653560,1983.4700000000000,0.4586131386864720,2020-02-17,15:08:00,15:38:00,1800.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.038,N,25.1820931,-80.36319380000000,,6.02,2.76,7.12,10.08,L,wings torn at the end,yes
36,set001-2-17-2020-A4_36.txt,T1,A-4,A,4,1,0.266069457508828,63.72000000000120,18.220700000000000,0.0,34.56000000000130,0.035055868226906500,1817.6700000000000,0.3173232323233020,2020-02-17,15:40:00,16:11:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,B,,0.051,N,25.1755702,-80.36780089,,5.95,3.1,8.2,11.48,L,,yes
74,set001-2-17-2020-A4_74.txt,T1,A-4,A,4,1,0.4947126781209270,32.23999999999980,16.335800000000000,0.0,26.5,0.015402622841172300,2093.15,0.5817592592592980,2020-02-17,10:28:00,11:01:00,1980.0,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.033,N,28.7963435,-81.8778849,,5.11,2.81,7.98,10.98,L,,yes
92,set001-2-17-2020-A4_92.txt,T1,A-4,A,4,1,0.37885145315505900,116.66999999999800,38.954600000000000,80.33000000000180,80.33000000000180,0.051659781352531700,2258.4300000000000,1.1635185185166400,2020-02-17,12:48:00,13:22:00,2040.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.084,N,25.286747000000000,-80.290592,9.0,7.85,3.73,9.71,13.2,L,,yes
62,set001-2-17-2020-B1_62.txt,T1,B-1,B,1,1,0.32984240853204100,42107.22,13193.043400004100,149.8000000000030,32154.61,0.9749255560116780,43190.19,0.6220792079206580,2020-02-17,9:18:00,21:26:24,43704.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,SENSOR: sensor readings very small drops ,0.033,N,27.896740300000000,-81.58046540000000,,5.41,2.98,8.03,11.18,L,,yes
63,set001-2-17-2020-B1_63.txt,T1,B-1,B,1,1,0.5037558955912610,1261.41,632.6981000000030,0.0,1261.41,0.2995632689992230,4210.83,0.5711818181818650,2020-02-17,8:45:00,09:15:00,1800.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.069,N,27.896740300000000,-81.58046540000000,144.0,7.75,3.58,9.34,13.26,L,,yes
